fileName,commentCharNum,wordsNum,diffWordsNum,longestWordLen,totalCharNum,totalSpecialCharNum,webshell
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1099.php,2,186,113,22,1217,297,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell11.php,401134,22474,5158,195,166002,24336,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell110.php,113212,5908,1000,19,39364,12690,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1100.php,0,269,126,14,1304,605,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1101.php,747,110,88,8,523,225,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1102.php,0,259,115,11,1304,605,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1103.php,0,252,107,14,1302,598,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1104.php,0,85,31,10,766,457,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1105.php,931,46,36,9,374,107,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1106.php,0,164,131,31,1292,97,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1107.php,2,156,55,8,1015,394,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1108.php,2,156,55,8,1014,395,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1109.php,0,120,114,62,1306,11,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell111.php,24104,17585,2709,76,120250,35826,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1110.php,990,60,53,12,298,101,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1111.php,0,248,111,11,1286,745,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1112.php,0,267,128,15,1286,591,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1113.php,0,260,126,14,1286,591,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1114.php,0,123,59,9,804,267,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1115.php,0,260,124,16,1284,584,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1116.php,0,251,131,14,1284,584,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1117.php,0,248,112,14,1275,731,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1118.php,0,249,133,16,1275,577,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1119.php,0,256,128,16,1268,577,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell112.php,93867,8149,592,74,58439,20948,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1120.php,880,84,69,10,380,162,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1121.php,4,181,97,11,1144,356,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1122.php,863,76,69,9,382,154,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1123.php,27,158,66,12,940,311,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1124.php,699,102,84,11,516,225,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1125.php,108,125,44,11,881,378,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1126.php,891,60,53,12,298,101,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1127.php,897,63,57,8,309,130,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1128.php,16,166,84,14,1018,264,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1129.php,0,127,32,12,770,303,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell113.php,29338,16800,2592,76,115084,34359,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1130.php,966,46,46,12,215,78,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1131.php,10,139,56,10,977,339,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1132.php,22,138,65,12,885,299,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1133.php,625,109,93,11,518,221,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1134.php,937,48,44,9,231,87,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1135.php,2,126,21,10,1114,472,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1136.php,2,124,19,10,1107,471,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1137.php,227,56,31,10,384,140,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1138.php,0,167,21,9,1161,580,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1139.php,6,144,77,9,981,261,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell114.php,93867,8063,591,74,58016,20873,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1140.php,720,32,31,5,259,213,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1141.php,950,22,17,12,174,37,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1142.php,4,157,82,9,941,276,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1143.php,626,101,83,11,459,184,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1144.php,6,90,46,14,673,172,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1145.php,18,153,49,8,916,246,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1146.php,26,14,11,6,1020,991,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1147.php,0,116,46,10,592,302,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1148.php,4,111,53,14,757,212,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1149.php,626,89,72,10,445,180,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell115.php,146,18391,2424,64,122423,39653,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1150.php,0,94,65,9,839,516,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1151.php,6,145,55,14,951,253,1
/Users/jiaheng/Desktop/基于机器学习的webshell检测/webshell/res/samples/webshell/webshell1152.php,0,131,62,11,900,248,1
